City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodinsk,58.6881,99.1844,-26.42,100,95,0.25,RU,1708890852
1,pahrump,36.2083,-115.9839,19.03,35,100,0.89,US,1708890792
2,hermanus,-34.4187,19.2345,17.15,64,5,3.31,ZA,1708890852
3,rio tinto,41.1826,-8.5581,13.77,90,75,5.81,PT,1708890852
4,grytviken,-54.2811,-36.5092,4.32,94,100,5.52,GS,1708890852
5,adamstown,-25.066,-130.1015,26.46,76,96,5.27,PN,1708890853
6,bethel,41.3712,-73.414,4.54,39,0,2.57,US,1708890853
7,hovd,48.0056,91.6419,-16.21,64,1,1.05,MN,1708890853
8,puerto natales,-51.7236,-72.4875,19.25,48,40,5.14,CL,1708890853
9,tiksi,71.6872,128.8694,-20.1,95,100,8.11,RU,1708890854
10,brindisi,40.5833,17.6667,12.47,94,100,3.73,IT,1708890854
11,rongelap,11.1635,166.8941,26.58,81,85,6.69,MH,1708890854
12,tolanaro,-25.0319,46.9987,25.04,88,75,4.12,MG,1708890854
13,albany,42.6001,-73.9662,4.89,40,13,1.79,US,1708890716
14,malango,-2.9627,119.9001,20.51,96,100,0.87,ID,1708890855
15,yarmouth,41.7057,-70.2286,2.58,58,0,4.63,US,1708890855
16,isafjordur,66.0755,-23.124,-0.29,88,100,5.71,IS,1708890855
17,turkmenbasy,40.0222,52.9552,-1.57,50,0,7.2,TM,1708890855
18,blackmans bay,-43.0167,147.3167,11.07,60,77,0.89,AU,1708890856
19,waitangi,-43.9535,-176.5597,14.34,81,100,0.45,NZ,1708890856
20,zaozersk,69.4005,32.4476,-0.4,84,55,12.03,RU,1708890857
21,ushuaia,-54.8,-68.3,12.81,82,75,7.72,AR,1708890671
22,port elizabeth,-33.918,25.5701,18.16,69,0,9.26,ZA,1708890857
23,howard springs,-12.497,131.047,26.95,96,98,1.25,AU,1708890857
24,xining,36.6167,101.7667,-6.62,92,100,0.6,CN,1708890858
25,liptovsky hradok,49.0396,19.7234,5.41,96,100,1.58,SK,1708890858
26,port mathurin,-19.6833,63.4167,26.4,77,85,9.84,MU,1708890858
27,port-aux-francais,-49.35,70.2167,8.07,94,100,18.83,TF,1708890858
28,al jawf,29.5,38.75,12.39,49,0,0.7,SA,1708890859
29,vorgashor,67.5833,63.95,-0.55,98,100,8.62,RU,1708890859
30,darwin,-12.4611,130.8418,26.99,92,75,0.89,AU,1708890482
31,atafu village,-8.5421,-172.5159,29.15,66,16,3.42,TK,1708890859
32,piriapolis,-34.8682,-55.2744,23.09,59,75,6.69,UY,1708890860
33,al bawiti,28.3492,28.8659,16.43,31,0,2.11,EG,1708890860
34,wewak,-3.5534,143.6268,25.52,88,100,1.07,PG,1708890860
35,anloga,5.7947,0.8973,28.57,80,23,4.58,GH,1708890861
36,chorbane,35.2858,10.3858,11.4,55,49,3.55,TN,1708890861
37,thompson,55.7435,-97.8558,-16.91,51,75,3.6,CA,1708890861
38,meadow lake,34.8014,-106.5436,19.21,16,44,4.39,US,1708890861
39,iwanai,42.9744,140.5089,-3.27,92,100,1.46,JP,1708890862
40,olonkinbyen,70.9221,-8.7187,-5.43,69,97,4.57,SJ,1708890862
41,papatowai,-46.5619,169.4708,11.83,80,100,1.3,NZ,1708890862
42,bonga,7.2833,36.2333,16.92,90,55,0.81,ET,1708890862
43,msaken,35.7292,10.5808,14.7,55,20,6.69,TN,1708890863
44,samoylovka,51.184,43.7081,-10.16,88,96,4.71,RU,1708890863
45,itoman,26.1247,127.6694,18.21,63,75,8.23,JP,1708890863
46,edinburgh of the seven seas,-37.0676,-12.3116,19.74,95,100,9.65,SH,1708890864
47,stanley,54.868,-1.6985,4.04,92,94,2.57,GB,1708890798
48,oliveira dos brejinhos,-12.3169,-42.8961,29.29,52,71,2.02,BR,1708890865
49,miri,4.4148,114.0089,25.08,100,20,1.03,MY,1708890865
50,la reforma,25.0833,-108.05,27.25,31,0,4.57,MX,1708890866
51,mossel bay,-34.1831,22.146,16.96,58,59,5.05,ZA,1708890866
52,bredasdorp,-34.5322,20.0403,15.92,62,4,1.55,ZA,1708890866
53,egilsstadir,65.2653,-14.3948,-8.05,67,0,2.57,IS,1708890867
54,antofagasta,-23.65,-70.4,21.6,73,94,4.17,CL,1708890867
55,rio grande,-32.035,-52.0986,25.06,74,100,7.85,BR,1708890868
56,hadibu,12.65,54.0333,24.43,72,0,3.28,YE,1708890868
57,tsiombe,-25.3,45.4833,24.57,89,59,6.06,MG,1708890868
58,san luis de la loma,17.2706,-100.8939,29.17,64,100,3.63,MX,1708890868
59,petropavlovsk-kamchatsky,53.0452,158.6483,-20.86,82,0,5.0,RU,1708890869
60,altai,46.3722,96.2583,-21.6,96,61,2.33,MN,1708890869
61,tindouf,27.6711,-8.1474,23.25,17,0,2.06,DZ,1708890869
62,dwarka,22.2394,68.9678,22.96,41,100,5.11,IN,1708890869
63,wedgefield,28.4878,-81.0773,24.55,30,0,0.89,US,1708890870
64,georgetown,5.4112,100.3354,27.96,83,20,2.57,MY,1708890870
65,morondava,-20.2833,44.2833,27.56,78,71,4.03,MG,1708890870
66,gemena,3.25,19.7667,27.9,35,100,1.08,CD,1708890871
67,saint-philippe,-21.3585,55.7679,26.77,86,51,6.57,RE,1708890871
68,saint-pierre,-21.3393,55.4781,26.82,89,75,1.54,RE,1708890871
69,aasiaat,68.7098,-52.8699,-20.41,95,23,2.02,GL,1708890872
70,ghat,24.9647,10.1728,17.2,23,0,3.8,LY,1708890872
71,puerto ayora,-0.7393,-90.3518,30.98,88,39,5.81,EC,1708890872
72,temiskaming shores,47.4938,-79.7153,-0.11,91,100,6.07,CA,1708890872
73,punta arenas,-53.15,-70.9167,20.06,42,20,10.29,CL,1708890873
74,bereznik,62.8551,42.7072,1.29,92,100,2.93,RU,1708890873
75,longyearbyen,78.2186,15.6401,-17.09,78,0,1.54,SJ,1708890873
76,yuzhno-kurilsk,44.0306,145.8556,-7.01,56,100,2.88,RU,1708890873
77,port saint john's,-31.6229,29.5448,20.79,63,100,8.2,ZA,1708890874
78,ancud,-41.8697,-73.8203,16.86,63,3,4.41,CL,1708890874
79,sao tome,0.3365,6.7273,29.02,74,75,5.14,ST,1708890874
80,avarua,-21.2078,-159.775,28.03,83,100,1.03,CK,1708890874
81,tucuma,-0.1833,-50.05,24.7,94,100,3.39,BR,1708890845
82,ilulissat,69.2167,-51.1,-13.99,72,75,5.14,GL,1708890875
83,port blair,11.6667,92.75,27.02,83,20,1.54,IN,1708890875
84,nadym,65.5333,72.5167,-10.8,93,56,7.18,RU,1708890875
85,delmar,42.622,-73.8326,5.36,41,20,4.12,US,1708890876
86,wailua homesteads,22.0669,-159.378,24.24,61,75,9.26,US,1708890876
87,mount isa,-20.7333,139.5,23.87,88,40,2.57,AU,1708890876
88,colonia,50.9333,6.95,8.19,69,0,3.6,DE,1708890669
89,coquimbo,-29.9533,-71.3436,20.85,77,75,4.63,CL,1708890797
90,ko lanta,7.5336,99.0865,27.0,78,26,7.59,TH,1708890877
91,tadine,-21.55,167.8833,25.34,78,99,3.09,NC,1708890877
92,masterton,-40.9597,175.6575,15.49,88,100,2.03,NZ,1708890877
93,safotu,-13.4513,-172.4018,28.08,81,77,3.05,WS,1708890878
94,iskateley,67.6803,53.1512,-1.1,94,100,7.6,RU,1708890878
95,kapuskasing,49.4169,-82.4331,0.05,93,100,4.63,CA,1708890878
96,sao geraldo do araguaia,-6.4006,-48.555,28.15,82,99,0.74,BR,1708890878
97,newman,37.3138,-121.0208,20.69,65,2,0.45,US,1708890879
98,gulu,2.7746,32.299,24.47,51,54,1.24,UG,1708890879
99,badger,64.8,-147.5333,-13.34,80,100,0.0,US,1708890879
100,handlova,48.7276,18.7601,8.49,93,97,1.89,SK,1708890880
101,rabaul,-4.1967,152.1721,26.37,76,100,1.89,PG,1708890880
102,ta`u,-14.2336,-169.5144,27.97,75,79,4.51,AS,1708890880
103,arraial do cabo,-22.9661,-42.0278,29.98,79,20,4.63,BR,1708890881
104,sitka,57.0531,-135.33,0.94,44,0,7.2,US,1708890881
105,moab,38.5733,-109.5498,17.01,23,8,4.01,US,1708890881
106,hilo,19.7297,-155.09,22.92,83,75,2.57,US,1708890881
107,saynshand,44.8824,110.1163,-17.42,87,92,1.6,MN,1708890882
108,bilibino,68.0546,166.4372,-29.98,100,100,0.79,RU,1708890882
109,igarka,67.4667,86.5833,-23.32,96,76,7.49,RU,1708890882
110,ust-nera,64.5667,143.2,-36.89,98,85,1.25,RU,1708890882
111,sandnessjoen,66.0217,12.6316,3.29,100,75,11.83,NO,1708890883
112,north ward,-19.2454,146.8075,25.95,94,40,2.06,AU,1708890883
113,invercargill,-46.4,168.35,10.57,95,100,1.58,NZ,1708890642
114,vilyuchinsk,52.9306,158.4028,-20.04,79,1,3.66,RU,1708890883
115,mantua,45.1667,10.7833,9.43,87,97,0.89,IT,1708890884
116,cabo san lucas,22.8909,-109.9124,29.23,57,0,0.45,MX,1708890602
117,chibougamau,49.9168,-74.3659,-7.21,79,100,7.2,CA,1708890884
118,fuglafjordur,62.244,-6.814,0.26,76,100,7.5,FO,1708890884
119,shiguai,40.7058,110.2856,-6.21,71,100,1.53,CN,1708890885
120,saipan,15.1355,145.701,24.39,83,0,3.09,MP,1708890885
121,san pedro de ycuamandiyu,-24.0917,-57.0764,36.98,37,86,1.88,PY,1708890885
122,hawaiian paradise park,19.5933,-154.9731,22.8,84,75,2.57,US,1708890885
123,talnakh,69.4865,88.3972,-16.55,94,100,6.42,RU,1708890885
124,west island,-12.1568,96.8225,27.97,76,7,6.03,CC,1708890886
125,kingston,17.997,-76.7936,27.53,76,75,4.12,JM,1708890886
126,inirida,3.8653,-67.9239,37.65,29,100,0.25,CO,1708890886
127,karatas,36.582,35.3701,13.08,70,64,1.96,TR,1708890887
128,tual,-5.6667,132.75,28.3,79,100,7.7,ID,1708890887
129,margaret river,-33.95,115.0667,17.78,73,100,2.67,AU,1708890887
130,gamay,12.3854,125.2979,24.21,87,38,4.72,PH,1708890887
131,happy valley-goose bay,53.3168,-60.3315,-12.83,61,75,5.14,CA,1708890888
132,ha'il,27.5219,41.6907,11.01,66,0,1.03,SA,1708890888
133,mahina,-17.5065,-149.489,29.87,74,0,1.54,PF,1708890889
134,uturoa,-16.7333,-151.4333,28.54,76,24,4.33,PF,1708890889
135,deqen,29.9618,90.7188,-3.33,31,50,1.98,CN,1708890889
136,arkhangel'sk,64.5401,40.5433,3.06,74,75,6.0,RU,1708890889
